 ;Direct consumption / Mean values [W] ;Battery discharging / Mean values [W] ;External energy supply / Mean values [W] ;Total consumption / Mean values [W] ;Grid feed-in / Mean values [W] ;Direct consumption / Mean values [W]  ;Battery charging / Mean values [W]  ;PV power generation / Mean values [W]  ;Target value / Mean values [W]  ;Output value / Mean values [W]  
"=""00:00"""; ; ; ; ; ; ; ; ;300;"3,000"
"=""00:15"""; ;2;"1,988";;0;;0;; ; 
"=""00:30"""; ;0;"1,808";;0;;1;; ; 
"=""00:45"""; ;0;"2,085";;0;;3;; ; 
"=""01:00"""; ;0;"1,941";;0;;0;; ; 
"=""01:15"""; ;0;"1,921";;0;;0;; ; 
"=""01:30"""; ;0;"2,131";;0;;3;; ; 
"=""01:45"""; ;1;"1,785";;0;;0;; ; 
"=""02:00"""; ;0;"1,750";;0;;1;; ; 
"=""02:15"""; ;3;"1,269";;0;;0;; ; 
"=""02:30"""; ;0;"1,277";;0;;2;; ; 
"=""02:45"""; ;0;"1,672";;0;;2;; ; 
"=""03:00"""; ;2;"1,457";;0;;0;; ; 
"=""03:15"""; ;0;"1,185";;0;;2;; ; 
"=""03:30"""; ;1;920;;0;;0;; ; 
"=""03:45"""; ;0;"1,355";;0;;2;; ; 
"=""04:00"""; ;0;"1,169";;0;;2;; ; 
"=""04:15"""; ;1;724;;0;;0;; ; 
"=""04:30"""; ;2;"1,302";;0;;0;; ; 
"=""04:45"""; ;0;"1,690";;0;;3;; ; 
"=""05:00"""; ;1;"1,742";;0;;0;; ; 
"=""05:15"""; ;0;"1,430";;0;;1;; ; 
"=""05:30"""; ;0;"2,409";;0;;0;; ; 
"=""05:45""";0;1;"1,116";"1,116";0;0;0;; ; 
"=""06:00""";0;2;"1,444";"1,446";0;0;0;; ; 
"=""06:15""";0;0;"1,314";"1,310";0;0;4;; ; 
"=""06:30""";0;0;"1,802";"1,802";0;0;0;0; ; 
"=""06:45""";9;1;992;"1,001";0;9;0;9; ; 
"=""07:00""";57;0;771;828;0;57;0;57; ; 
"=""07:15""";191;0;859;"1,051";0;191;1;192; ; 
"=""07:30""";377;0;580;956;0;377;3;379; ; 
"=""07:45""";291;0;767;"1,058";0;291;0;291; ; 
"=""08:00""";142;1;"1,208";"1,350";0;142;0;142; ; 
"=""08:15""";225;0;"1,471";"1,696";0;225;1;226; ; 
"=""08:17"""; ; ; ; ; ; ; ; ; ;"2,010"
"=""08:22"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""08:30""";920;0;621;"1,541";65;920;596;"1,580"; ; 
"=""08:37"""; ; ; ; ; ; ; ; ; ;"2,430"
"=""08:42"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""08:45""";"1,990";0;890;"2,880";26;"1,990";285;"2,300"; ; 
"=""08:52"""; ; ; ; ; ; ; ; ; ;"1,350"
"=""08:57"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""09:00""";"1,497";0;471;"1,969";85;"1,497";663;"2,245"; ; 
"=""09:15""";"1,171";0;52;"1,223";30;"1,171";811;"2,011"; ; 
"=""09:30""";786;0;37;823;37;786;599;"1,422"; ; 
"=""09:45""";687;0;12;699;14;687;"1,064";"1,765"; ; 
"=""10:00""";702;0;13;715;15;702;"1,738";"2,455"; ; 
"=""10:15""";683;0;13;696;12;683;"1,429";"2,123"; ; 
"=""10:30""";644;0;16;661;14;644;"1,125";"1,784"; ; 
"=""10:45""";648;0;15;663;12;648;"1,014";"1,674"; ; 
"=""10:52"""; ; ; ; ; ; ; ; ; ;"2,040"
"=""10:57"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""11:00""";643;0;38;681;119;643;"1,440";"2,202"; ; 
"=""11:07"""; ; ; ; ; ; ; ; ; ;0
"=""11:12"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""11:15""";918;0;91;"1,009";134;918;809;"1,861"; ; 
"=""11:22"""; ; ; ; ; ; ; ; ; ;"1,710"
"=""11:27"""; ; ; ; ; ; ; ; ; ;"1,680"
"=""11:30""";"1,189";0;51;"1,240";171;"1,189";556;"1,916"; ; 
"=""11:42"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""11:45""";798;0;93;891;335;798;966;"2,098"; ; 
"=""11:47"""; ; ; ; ; ; ; ; ; ;"1,620"
"=""11:52"""; ; ; ; ; ; ; ; ; ;0
"=""11:57"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""12:00""";"1,266";0;208;"1,474";363;"1,266";747;"2,375"; ; 
"=""12:02"""; ; ; ; ; ; ; ; ; ;"2,400"
"=""12:07"""; ; ; ; ; ; ; ; ; ;"2,940"
"=""12:12"""; ; ; ; ; ; ; ; ; ;"1,620"
"=""12:15""";"1,464";0;181;"1,645";367;"1,464";569;"2,400"; ; 
"=""12:17"""; ; ; ; ; ; ; ; ; ;300
"=""12:22"""; ; ; ; ; ; ; ; ; ;900
"=""12:27"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""12:30""";"1,834";0;188;"2,023";320;"1,834";319;"2,473"; ; 
"=""12:45""";"2,340";255;23;"2,617";40;"2,340";0;"2,379"; ; 
"=""12:52"""; ; ; ; ; ; ; ; ; ;"2,850"
"=""12:57"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""13:00""";"2,594";0;105;"2,699";125;"2,594";312;"3,031"; ; 
"=""13:07"""; ; ; ; ; ; ; ; ; ;"2,280"
"=""13:12"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""13:15""";"2,154";0;84;"2,239";202;"2,154";345;"2,701"; ; 
"=""13:30""";"1,661";"1,037";128;"2,827";127;"1,661";0;"1,788"; ; 
"=""13:45""";"2,815";520;89;"3,424";85;"2,815";0;"2,900"; ; 
"=""13:47"""; ; ; ; ; ; ; ; ; ;630
"=""13:52"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""14:00""";"2,580";820;105;"3,504";110;"2,580";0;"2,689"; ; 
"=""14:15""";"2,689";423;58;"3,170";54;"2,689";0;"2,743"; ; 
"=""14:17"""; ; ; ; ; ; ; ; ; ;"2,370"
"=""14:22"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""14:30""";"1,837";"2,844";201;"4,882";119;"1,837";0;"1,956"; ; 
"=""14:45""";"1,617";"1,821";"1,125";"4,563";82;"1,617";0;"1,699"; ; 
"=""15:00""";"1,938";"1,075";"1,128";"4,140";71;"1,938";0;"2,008"; ; 
"=""15:15""";"1,765";895;"2,373";"5,033";39;"1,765";0;"1,804"; ; 
"=""15:30""";"1,571";720;"1,046";"3,337";56;"1,571";0;"1,627"; ; 
"=""15:45""";705;117;"1,263";"2,086";14;705;0;719; ; 
"=""16:00""";755;0;"1,404";"2,158";0;755;0;755; ; 
"=""16:15""";830;1;"1,107";"1,937";0;830;0;830; ; 
"=""16:30""";685;1;"1,124";"1,810";0;685;0;685; ; 
"=""16:45""";745;0;531;"1,276";0;745;2;747; ; 
"=""17:00""";499;0;612;"1,111";0;499;0;499; ; 
"=""17:15""";355;0;"1,741";"2,096";0;355;2;357; ; 
"=""17:30""";308;0;"2,552";"2,860";0;308;1;309; ; 
"=""17:45""";159;0;"1,999";"2,158";0;159;3;161; ; 
"=""18:00""";76;2;"1,868";"1,947";0;76;0;76; ; 
"=""18:15""";10;0;"2,875";"2,885";0;10;2;12; ; 
"=""18:30""";0;0;"3,231";"3,231";0;0;0;; ; 
"=""18:45""";0;0;"2,236";"2,337";0;0;2;; ; 
"=""19:00""";0;0;"3,544";"3,544";0;0;1;; ; 
"=""19:15""";0;0;"3,978";"3,556";0;0;3;; ; 
"=""19:30"""; ;1;"3,949";;0;;0;; ; 
"=""19:45"""; ;0;"3,105";;0;;1;; ; 
"=""20:00"""; ;0;"2,861";;0;;1;; ; 
"=""20:15"""; ;0;"2,813";;0;;0;; ; 
"=""20:30"""; ;0;"2,851";;0;;1;; ; 
"=""20:45"""; ;1;"3,223";;0;;0;; ; 
"=""21:00"""; ;0;"3,569";;0;;0;; ; 
"=""21:15"""; ;0;"4,244";;0;;1;; ; 
"=""21:30"""; ;0;"3,145";;0;;1;; ; 
"=""21:45"""; ;0;"3,244";;0;;1;; ; 
"=""22:00"""; ;0;"2,778";;0;;1;; ; 
"=""22:15"""; ;2;"2,659";;0;;0;; ; 
"=""22:30"""; ;0;"2,525";;0;;1;; ; 
"=""22:45"""; ;0;"2,528";;0;;0;; ; 
"=""23:00"""; ;0;"2,342";;0;;1;; ; 
"=""23:15"""; ;0;"2,402";;0;;0;; ; 
"=""23:30"""; ;0;"2,444";;0;;0;; ; 
"=""23:45"""; ;0;"2,043";;0;;0;; ; 
"=""00:00"""; ;0;"2,078";;0;;2;;300;"3,000"
